date,location_name,location,value
2020-03-12,Zachodniopomorskie,PL87,2
2020-03-13,Poland,PL,51
2020-03-13,Dolnoslaskie,PL72,7
2020-03-13,Kujawsko-Pomorskie,PL73,0
2020-03-13,Lodzkie,PL74,2
2020-03-13,Lubelskie,PL75,6
2020-03-13,Lubuskie,PL76,1
2020-03-13,Malopolskie,PL77,1
2020-03-13,Mazowieckie,PL78,6
2020-03-13,Opolskie,PL79,2
2020-03-13,Podkarpackie,PL80,3
2020-03-13,Podlaskie,PL81,0
2020-03-13,Pomorskie,PL82,0
2020-03-13,Slaskie,PL83,11
2020-03-13,Swietokrzyskie,PL84,0
2020-03-13,Warminsko-Mazurskie,PL85,4
2020-03-13,Wielkopolskie,PL86,5
2020-03-13,Zachodniopomorskie,PL87,3
2020-03-14,Poland,PL,68
2020-03-14,Dolnoslaskie,PL72,8
2020-03-14,Kujawsko-Pomorskie,PL73,0
2020-03-14,Lodzkie,PL74,5
2020-03-14,Lubelskie,PL75,7
2020-03-14,Lubuskie,PL76,1
2020-03-14,Malopolskie,PL77,1
2020-03-14,Mazowieckie,PL78,11
2020-03-14,Opolskie,PL79,2
2020-03-14,Podkarpackie,PL80,6
2020-03-14,Podlaskie,PL81,0
2020-03-14,Pomorskie,PL82,0
2020-03-14,Slaskie,PL83,12
2020-03-14,Swietokrzyskie,PL84,0
2020-03-14,Warminsko-Mazurskie,PL85,4
2020-03-14,Wielkopolskie,PL86,6
2020-03-14,Zachodniopomorskie,PL87,5
2020-03-15,Poland,PL,104
2020-03-15,Dolnoslaskie,PL72,13
2020-03-15,Kujawsko-Pomorskie,PL73,0
2020-03-15,Lodzkie,PL74,15
2020-03-15,Lubelskie,PL75,15
2020-03-15,Lubuskie,PL76,1
2020-03-15,Malopolskie,PL77,1
2020-03-15,Mazowieckie,PL78,16
2020-03-15,Opolskie,PL79,4
2020-03-15,Podkarpackie,PL80,7
2020-03-15,Podlaskie,PL81,0
2020-03-15,Pomorskie,PL82,2
2020-03-15,Slaskie,PL83,12
2020-03-15,Swietokrzyskie,PL84,2
2020-03-15,Warminsko-Mazurskie,PL85,4
2020-03-15,Wielkopolskie,PL86,7
2020-03-15,Zachodniopomorskie,PL87,5
2020-03-16,Poland,PL,125
2020-03-16,Dolnoslaskie,PL72,15
2020-03-16,Kujawsko-Pomorskie,PL73,0
2020-03-16,Lodzkie,PL74,19
2020-03-16,Lubelskie,PL75,17
2020-03-16,Lubuskie,PL76,2
2020-03-16,Malopolskie,PL77,1
2020-03-16,Mazowieckie,PL78,22
2020-03-16,Opolskie,PL79,4
2020-03-16,Podkarpackie,PL80,8
2020-03-16,Podlaskie,PL81,0
2020-03-16,Pomorskie,PL82,2
2020-03-16,Slaskie,PL83,14
2020-03-16,Swietokrzyskie,PL84,3
2020-03-16,Warminsko-Mazurskie,PL85,5
2020-03-16,Wielkopolskie,PL86,7
2020-03-16,Zachodniopomorskie,PL87,6
2020-03-17,Poland,PL,177
2020-03-17,Dolnoslaskie,PL72,27
2020-03-17,Kujawsko-Pomorskie,PL73,0
2020-03-17,Lodzkie,PL74,31
2020-03-17,Lubelskie,PL75,18
2020-03-17,Lubuskie,PL76,2
2020-03-17,Malopolskie,PL77,2
2020-03-17,Mazowieckie,PL78,35
2020-03-17,Opolskie,PL79,6
2020-03-17,Podkarpackie,PL80,11
2020-03-17,Podlaskie,PL81,0
2020-03-17,Pomorskie,PL82,2
2020-03-17,Slaskie,PL83,18
2020-03-17,Swietokrzyskie,PL84,3
2020-03-17,Warminsko-Mazurskie,PL85,5
2020-03-17,Wielkopolskie,PL86,11
2020-03-17,Zachodniopomorskie,PL87,6
2020-03-18,Poland,PL,238
2020-03-18,Dolnoslaskie,PL72,38
2020-03-18,Kujawsko-Pomorskie,PL73,8
2020-03-18,Lodzkie,PL74,42
2020-03-18,Lubelskie,PL75,22
2020-03-18,Lubuskie,PL76,2
2020-03-18,Malopolskie,PL77,5
2020-03-18,Mazowieckie,PL78,38
2020-03-18,Opolskie,PL79,8
2020-03-18,Podkarpackie,PL80,11
2020-03-18,Podlaskie,PL81,1
2020-03-18,Pomorskie,PL82,8
2020-03-18,Slaskie,PL83,24
2020-03-18,Swietokrzyskie,PL84,3
2020-03-18,Warminsko-Mazurskie,PL85,7
2020-03-18,Wielkopolskie,PL86,13
2020-03-18,Zachodniopomorskie,PL87,8
2020-03-19,Poland,PL,287
2020-03-19,Dolnoslaskie,PL72,40
2020-03-19,Kujawsko-Pomorskie,PL73,8
2020-03-19,Lodzkie,PL74,42
2020-03-19,Lubelskie,PL75,22
2020-03-19,Lubuskie,PL76,3
2020-03-19,Malopolskie,PL77,6
2020-03-19,Mazowieckie,PL78,66
2020-03-19,Opolskie,PL79,9
2020-03-19,Podkarpackie,PL80,14
2020-03-19,Podlaskie,PL81,1
2020-03-19,Pomorskie,PL82,9
2020-03-19,Slaskie,PL83,30
2020-03-19,Swietokrzyskie,PL84,4
2020-03-19,Warminsko-Mazurskie,PL85,11
2020-03-19,Wielkopolskie,PL86,13
2020-03-19,Zachodniopomorskie,PL87,8
2020-03-20,Poland,PL,355
2020-03-20,Dolnoslaskie,PL72,53
2020-03-20,Kujawsko-Pomorskie,PL73,11
2020-03-20,Lodzkie,PL74,48
2020-03-20,Lubelskie,PL75,25
2020-03-20,Lubuskie,PL76,9
2020-03-20,Malopolskie,PL77,7
2020-03-20,Mazowieckie,PL78,82
2020-03-20,Opolskie,PL79,10
2020-03-20,Podkarpackie,PL80,17
2020-03-20,Podlaskie,PL81,1
2020-03-20,Pomorskie,PL82,9
2020-03-20,Slaskie,PL83,42
2020-03-20,Swietokrzyskie,PL84,5
2020-03-20,Warminsko-Mazurskie,PL85,12
2020-03-20,Wielkopolskie,PL86,15
2020-03-20,Zachodniopomorskie,PL87,9
2020-03-21,Poland,PL,425
2020-03-21,Dolnoslaskie,PL72,58
2020-03-21,Kujawsko-Pomorskie,PL73,14
2020-03-21,Lodzkie,PL74,57
2020-03-21,Lubelskie,PL75,28
2020-03-21,Lubuskie,PL76,9
2020-03-21,Malopolskie,PL77,14
2020-03-21,Mazowieckie,PL78,107
2020-03-21,Opolskie,PL79,10
2020-03-21,Podkarpackie,PL80,19
2020-03-21,Podlaskie,PL81,3
2020-03-21,Pomorskie,PL82,10
2020-03-21,Slaskie,PL83,46
2020-03-21,Swietokrzyskie,PL84,6
2020-03-21,Warminsko-Mazurskie,PL85,17
2020-03-21,Wielkopolskie,PL86,18
2020-03-21,Zachodniopomorskie,PL87,9
2020-03-22,Poland,PL,536
2020-03-22,Dolnoslaskie,PL72,66
2020-03-22,Kujawsko-Pomorskie,PL73,18
2020-03-22,Lodzkie,PL74,91
2020-03-22,Lubelskie,PL75,31
2020-03-22,Lubuskie,PL76,9
2020-03-22,Malopolskie,PL77,16
2020-03-22,Mazowieckie,PL78,127
2020-03-22,Opolskie,PL79,10
2020-03-22,Podkarpackie,PL80,25
2020-03-22,Podlaskie,PL81,5
2020-03-22,Pomorskie,PL82,14
2020-03-22,Slaskie,PL83,56
2020-03-22,Swietokrzyskie,PL84,7
2020-03-22,Warminsko-Mazurskie,PL85,20
2020-03-22,Wielkopolskie,PL86,31
2020-03-22,Zachodniopomorskie,PL87,10
2020-03-23,Poland,PL,634
2020-03-23,Dolnoslaskie,PL72,79
2020-03-23,Kujawsko-Pomorskie,PL73,18
2020-03-23,Lodzkie,PL74,106
2020-03-23,Lubelskie,PL75,39
2020-03-23,Lubuskie,PL76,11
2020-03-23,Malopolskie,PL77,24
2020-03-23,Mazowieckie,PL78,147
2020-03-23,Opolskie,PL79,14
2020-03-23,Podkarpackie,PL80,29
2020-03-23,Podlaskie,PL81,6
2020-03-23,Pomorskie,PL82,17
2020-03-23,Slaskie,PL83,66
2020-03-23,Swietokrzyskie,PL84,7
2020-03-23,Warminsko-Mazurskie,PL85,22
2020-03-23,Wielkopolskie,PL86,37
2020-03-23,Zachodniopomorskie,PL87,12
2020-03-24,Poland,PL,749
2020-03-24,Dolnoslaskie,PL72,101
2020-03-24,Kujawsko-Pomorskie,PL73,21
2020-03-24,Lodzkie,PL74,111
2020-03-24,Lubelskie,PL75,48
2020-03-24,Lubuskie,PL76,16
2020-03-24,Malopolskie,PL77,33
2020-03-24,Mazowieckie,PL78,175
2020-03-24,Opolskie,PL79,19
2020-03-24,Podkarpackie,PL80,30
2020-03-24,Podlaskie,PL81,7
2020-03-24,Pomorskie,PL82,21
2020-03-24,Slaskie,PL83,77
2020-03-24,Swietokrzyskie,PL84,8
2020-03-24,Warminsko-Mazurskie,PL85,25
2020-03-24,Wielkopolskie,PL86,41
2020-03-24,Zachodniopomorskie,PL87,16
2020-03-25,Poland,PL,901
2020-03-25,Dolnoslaskie,PL72,134
2020-03-25,Kujawsko-Pomorskie,PL73,22
2020-03-25,Lodzkie,PL74,129
2020-03-25,Lubelskie,PL75,54
2020-03-25,Lubuskie,PL76,21
2020-03-25,Malopolskie,PL77,49
2020-03-25,Mazowieckie,PL78,212
2020-03-25,Opolskie,PL79,21
2020-03-25,Podkarpackie,PL80,37
2020-03-25,Podlaskie,PL81,7
2020-03-25,Pomorskie,PL82,22
2020-03-25,Slaskie,PL83,87
2020-03-25,Swietokrzyskie,PL84,8
2020-03-25,Warminsko-Mazurskie,PL85,29
2020-03-25,Wielkopolskie,PL86,42
2020-03-25,Zachodniopomorskie,PL87,27
2020-03-26,Poland,PL,1051
2020-03-26,Dolnoslaskie,PL72,150
2020-03-26,Kujawsko-Pomorskie,PL73,27
2020-03-26,Lodzkie,PL74,144
2020-03-26,Lubelskie,PL75,60
2020-03-26,Lubuskie,PL76,23
2020-03-26,Malopolskie,PL77,56
2020-03-26,Mazowieckie,PL78,251
2020-03-26,Opolskie,PL79,23
2020-03-26,Podkarpackie,PL80,43
2020-03-26,Podlaskie,PL81,10
2020-03-26,Pomorskie,PL82,22
2020-03-26,Slaskie,PL83,107
2020-03-26,Swietokrzyskie,PL84,14
2020-03-26,Warminsko-Mazurskie,PL85,33
2020-03-26,Wielkopolskie,PL86,57
2020-03-26,Zachodniopomorskie,PL87,31
2020-03-27,Poland,PL,1221
2020-03-27,Dolnoslaskie,PL72,165
2020-03-27,Kujawsko-Pomorskie,PL73,31
2020-03-27,Lodzkie,PL74,158
2020-03-27,Lubelskie,PL75,74
2020-03-27,Lubuskie,PL76,30
2020-03-27,Malopolskie,PL77,69
2020-03-27,Mazowieckie,PL78,291
2020-03-27,Opolskie,PL79,26
2020-03-27,Podkarpackie,PL80,53
2020-03-27,Podlaskie,PL81,13
2020-03-27,Pomorskie,PL82,28
2020-03-27,Slaskie,PL83,127
2020-03-27,Swietokrzyskie,PL84,15
2020-03-27,Warminsko-Mazurskie,PL85,39
2020-03-27,Wielkopolskie,PL86,69
2020-03-27,Zachodniopomorskie,PL87,33
2020-03-28,Poland,PL,1389
2020-03-28,Dolnoslaskie,PL72,193
2020-03-28,Kujawsko-Pomorskie,PL73,33
2020-03-28,Lodzkie,PL74,168
2020-03-28,Lubelskie,PL75,78
2020-03-28,Lubuskie,PL76,31
2020-03-28,Malopolskie,PL77,93
2020-03-28,Mazowieckie,PL78,318
2020-03-28,Opolskie,PL79,28
2020-03-28,Podkarpackie,PL80,61
2020-03-28,Podlaskie,PL81,17
2020-03-28,Pomorskie,PL82,32
2020-03-28,Slaskie,PL83,141
2020-03-28,Swietokrzyskie,PL84,22
2020-03-28,Warminsko-Mazurskie,PL85,44
2020-03-28,Wielkopolskie,PL86,90
2020-03-28,Zachodniopomorskie,PL87,40
2020-03-29,Poland,PL,1638
2020-03-29,Dolnoslaskie,PL72,214
2020-03-29,Kujawsko-Pomorskie,PL73,37
2020-03-29,Lodzkie,PL74,182
2020-03-29,Lubelskie,PL75,87
2020-03-29,Lubuskie,PL76,33
2020-03-29,Malopolskie,PL77,112
2020-03-29,Mazowieckie,PL78,421
2020-03-29,Opolskie,PL79,31
2020-03-29,Podkarpackie,PL80,71
2020-03-29,Podlaskie,PL81,26
2020-03-29,Pomorskie,PL82,36
2020-03-29,Slaskie,PL83,165
2020-03-29,Swietokrzyskie,PL84,27
2020-03-29,Warminsko-Mazurskie,PL85,46
2020-03-29,Wielkopolskie,PL86,99
2020-03-29,Zachodniopomorskie,PL87,51
2020-03-30,Poland,PL,1862
2020-03-30,Dolnoslaskie,PL72,234
2020-03-30,Kujawsko-Pomorskie,PL73,47
2020-03-30,Lodzkie,PL74,190
2020-03-30,Lubelskie,PL75,105
2020-03-30,Lubuskie,PL76,33
2020-03-30,Malopolskie,PL77,150
2020-03-30,Mazowieckie,PL78,461
2020-03-30,Opolskie,PL79,43
2020-03-30,Podkarpackie,PL80,76
2020-03-30,Podlaskie,PL81,28
2020-03-30,Pomorskie,PL82,45
2020-03-30,Slaskie,PL83,195
2020-03-30,Swietokrzyskie,PL84,34
2020-03-30,Warminsko-Mazurskie,PL85,56
2020-03-30,Wielkopolskie,PL86,108
2020-03-30,Zachodniopomorskie,PL87,57
2020-03-31,Poland,PL,2055
2020-03-31,Dolnoslaskie,PL72,258
2020-03-31,Kujawsko-Pomorskie,PL73,72
2020-03-31,Lodzkie,PL74,202
2020-03-31,Lubelskie,PL75,114
2020-03-31,Lubuskie,PL76,36
2020-03-31,Malopolskie,PL77,174
2020-03-31,Mazowieckie,PL78,487
2020-03-31,Opolskie,PL79,54
2020-03-31,Podkarpackie,PL80,80
2020-03-31,Podlaskie,PL81,36
2020-03-31,Pomorskie,PL82,48
2020-03-31,Slaskie,PL83,209
2020-03-31,Swietokrzyskie,PL84,37
2020-03-31,Warminsko-Mazurskie,PL85,57
2020-03-31,Wielkopolskie,PL86,132
2020-03-31,Zachodniopomorskie,PL87,59
2020-04-01,Poland,PL,2311
2020-04-01,Dolnoslaskie,PL72,274
2020-04-01,Kujawsko-Pomorskie,PL73,76
2020-04-01,Lodzkie,PL74,208
2020-04-01,Lubelskie,PL75,132
2020-04-01,Lubuskie,PL76,42
2020-04-01,Malopolskie,PL77,192
2020-04-01,Mazowieckie,PL78,544
2020-04-01,Opolskie,PL79,70
2020-04-01,Podkarpackie,PL80,95
2020-04-01,Podlaskie,PL81,36
2020-04-01,Pomorskie,PL82,54
2020-04-01,Slaskie,PL83,264
2020-04-01,Swietokrzyskie,PL84,49
2020-04-01,Warminsko-Mazurskie,PL85,58
2020-04-01,Wielkopolskie,PL86,148
2020-04-01,Zachodniopomorskie,PL87,69
2020-04-02,Poland,PL,2554
2020-04-02,Dolnoslaskie,PL72,326
2020-04-02,Kujawsko-Pomorskie,PL73,84
2020-04-02,Lodzkie,PL74,221
2020-04-02,Lubelskie,PL75,133
2020-04-02,Lubuskie,PL76,47
2020-04-02,Malopolskie,PL77,209
2020-04-02,Mazowieckie,PL78,612
2020-04-02,Opolskie,PL79,75
2020-04-02,Podkarpackie,PL80,104
2020-04-02,Podlaskie,PL81,47
2020-04-02,Pomorskie,PL82,60
2020-04-02,Slaskie,PL83,272
2020-04-02,Swietokrzyskie,PL84,55
2020-04-02,Warminsko-Mazurskie,PL85,61
2020-04-02,Wielkopolskie,PL86,169
2020-04-02,Zachodniopomorskie,PL87,79
2020-04-03,Poland,PL,2946
2020-04-03,Dolnoslaskie,PL72,338
2020-04-03,Kujawsko-Pomorskie,PL73,157
2020-04-03,Lodzkie,PL74,236
2020-04-03,Lubelskie,PL75,151
2020-04-03,Lubuskie,PL76,48
2020-04-03,Malopolskie,PL77,230
2020-04-03,Mazowieckie,PL78,754
2020-04-03,Opolskie,PL79,78
2020-04-03,Podkarpackie,PL80,111
2020-04-03,Podlaskie,PL81,59
2020-04-03,Pomorskie,PL82,70
2020-04-03,Slaskie,PL83,301
2020-04-03,Swietokrzyskie,PL84,62
2020-04-03,Warminsko-Mazurskie,PL85,67
2020-04-03,Wielkopolskie,PL86,195
2020-04-03,Zachodniopomorskie,PL87,89
2020-04-04,Poland,PL,3383
2020-04-04,Dolnoslaskie,PL72,400
2020-04-04,Kujawsko-Pomorskie,PL73,199
2020-04-04,Lodzkie,PL74,248
2020-04-04,Lubelskie,PL75,158
2020-04-04,Lubuskie,PL76,50
2020-04-04,Malopolskie,PL77,262
2020-04-04,Mazowieckie,PL78,808
2020-04-04,Opolskie,PL79,90
2020-04-04,Podkarpackie,PL80,125
2020-04-04,Podlaskie,PL81,74
2020-04-04,Pomorskie,PL82,82
2020-04-04,Slaskie,PL83,431
2020-04-04,Swietokrzyskie,PL84,79
2020-04-04,Warminsko-Mazurskie,PL85,75
2020-04-04,Wielkopolskie,PL86,213
2020-04-04,Zachodniopomorskie,PL87,89
2020-04-05,Poland,PL,3627
2020-04-05,Dolnoslaskie,PL72,407
2020-04-05,Kujawsko-Pomorskie,PL73,224
2020-04-05,Lodzkie,PL74,259
2020-04-05,Lubelskie,PL75,165
2020-04-05,Lubuskie,PL76,56
2020-04-05,Malopolskie,PL77,308
2020-04-05,Mazowieckie,PL78,808
2020-04-05,Opolskie,PL79,90
2020-04-05,Podkarpackie,PL80,136
2020-04-05,Podlaskie,PL81,82
2020-04-05,Pomorskie,PL82,104
2020-04-05,Slaskie,PL83,496
2020-04-05,Swietokrzyskie,PL84,81
2020-04-05,Warminsko-Mazurskie,PL85,78
2020-04-05,Wielkopolskie,PL86,233
2020-04-05,Zachodniopomorskie,PL87,100
2020-04-06,Poland,PL,4102
2020-04-06,Dolnoslaskie,PL72,468
2020-04-06,Kujawsko-Pomorskie,PL73,241
2020-04-06,Lodzkie,PL74,326
2020-04-06,Lubelskie,PL75,174
2020-04-06,Lubuskie,PL76,59
2020-04-06,Malopolskie,PL77,327
2020-04-06,Mazowieckie,PL78,967
2020-04-06,Opolskie,PL79,94
2020-04-06,Podkarpackie,PL80,149
2020-04-06,Podlaskie,PL81,91
2020-04-06,Pomorskie,PL82,117
2020-04-06,Slaskie,PL83,537
2020-04-06,Swietokrzyskie,PL84,93
2020-04-06,Warminsko-Mazurskie,PL85,80
2020-04-06,Wielkopolskie,PL86,273
2020-04-06,Zachodniopomorskie,PL87,106
2020-04-07,Poland,PL,4413
2020-04-07,Dolnoslaskie,PL72,488
2020-04-07,Kujawsko-Pomorskie,PL73,245
2020-04-07,Lodzkie,PL74,340
2020-04-07,Lubelskie,PL75,181
2020-04-07,Lubuskie,PL76,62
2020-04-07,Malopolskie,PL77,349
2020-04-07,Mazowieckie,PL78,1065
2020-04-07,Opolskie,PL79,101
2020-04-07,Podkarpackie,PL80,156
2020-04-07,Podlaskie,PL81,109
2020-04-07,Pomorskie,PL82,125
2020-04-07,Slaskie,PL83,562
2020-04-07,Swietokrzyskie,PL84,103
2020-04-07,Warminsko-Mazurskie,PL85,83
2020-04-07,Wielkopolskie,PL86,327
2020-04-07,Zachodniopomorskie,PL87,117
2020-04-08,Poland,PL,4848
2020-04-08,Dolnoslaskie,PL72,527
2020-04-08,Kujawsko-Pomorskie,PL73,264
2020-04-08,Lodzkie,PL74,358
2020-04-08,Lubelskie,PL75,192
2020-04-08,Lubuskie,PL76,62
2020-04-08,Malopolskie,PL77,371
2020-04-08,Mazowieckie,PL78,1247
2020-04-08,Opolskie,PL79,107
2020-04-08,Podkarpackie,PL80,168
2020-04-08,Podlaskie,PL81,127
2020-04-08,Pomorskie,PL82,135
2020-04-08,Slaskie,PL83,601
2020-04-08,Swietokrzyskie,PL84,120
2020-04-08,Warminsko-Mazurskie,PL85,87
2020-04-08,Wielkopolskie,PL86,349
2020-04-08,Zachodniopomorskie,PL87,133
2020-04-09,Poland,PL,5205
2020-04-09,Dolnoslaskie,PL72,539
2020-04-09,Kujawsko-Pomorskie,PL73,277
2020-04-09,Lodzkie,PL74,400
2020-04-09,Lubelskie,PL75,200
2020-04-09,Lubuskie,PL76,66
2020-04-09,Malopolskie,PL77,399
2020-04-09,Mazowieckie,PL78,1314
2020-04-09,Opolskie,PL79,116
2020-04-09,Podkarpackie,PL80,180
2020-04-09,Podlaskie,PL81,149
2020-04-09,Pomorskie,PL82,143
2020-04-09,Slaskie,PL83,644
2020-04-09,Swietokrzyskie,PL84,127
2020-04-09,Warminsko-Mazurskie,PL85,92
2020-04-09,Wielkopolskie,PL86,394
2020-04-09,Zachodniopomorskie,PL87,165
2020-04-10,Poland,PL,5575
2020-04-10,Dolnoslaskie,PL72,568
2020-04-10,Kujawsko-Pomorskie,PL73,280
2020-04-10,Lodzkie,PL74,432
2020-04-10,Lubelskie,PL75,205
2020-04-10,Lubuskie,PL76,69
2020-04-10,Malopolskie,PL77,433
2020-04-10,Mazowieckie,PL78,1424
2020-04-10,Opolskie,PL79,125
2020-04-10,Podkarpackie,PL80,194
2020-04-10,Podlaskie,PL81,168
2020-04-10,Pomorskie,PL82,153
2020-04-10,Slaskie,PL83,695
2020-04-10,Swietokrzyskie,PL84,129
2020-04-10,Warminsko-Mazurskie,PL85,95
2020-04-10,Wielkopolskie,PL86,431
2020-04-10,Zachodniopomorskie,PL87,174
2020-04-11,Poland,PL,5955
2020-04-11,Dolnoslaskie,PL72,637
2020-04-11,Kujawsko-Pomorskie,PL73,290
2020-04-11,Lodzkie,PL74,463
2020-04-11,Lubelskie,PL75,222
2020-04-11,Lubuskie,PL76,74
2020-04-11,Malopolskie,PL77,453
2020-04-11,Mazowieckie,PL78,1501
2020-04-11,Opolskie,PL79,130
2020-04-11,Podkarpackie,PL80,209
